neighbourhood,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month
Historic Anacostia,Private room,1,1,1,42,8,28,92,f,moderate,2.07
Historic Anacostia,Private room,2,1,1,55,0,25,93,f,moderate,0.63
Historic Anacostia,Private room,1,1,1,50,0,2,90,f,strict,0.73
Historic Anacostia,Private room,2,1,1,58,18,25,90,t,strict,3.95
Historic Anacostia,Private room,2,1,1,51,16,35,93,f,moderate,2.92
Historic Anacostia,Private room,2,1,1,68,28,2,100,f,flexible,0.18
Historic Anacostia,Private room,3,1,1,75,30,25,93,f,moderate,0.46
Historic Anacostia,Private room,4,1,2,76,18,26,92,t,strict,5.38
Historic Anacostia,Private room,4,1,2,71,14,46,90,f,strict,7.54
Historic Anacostia,Private room,3,1,2,90,1,7,97,f,strict,1.14
Historic Anacostia,Private room,2,1,1,75,17,19,96,f,moderate,0.58
Historic Anacostia,Private room,1,1,1,76,0,1,100,f,strict,0.42
Historic Anacostia,Private room,2,1,1,59,23,19,88,t,strict,4.01
Historic Anacostia,Private room,1,1,1,50,19,24,88,f,moderate,1.71
Historic Anacostia,Private room,2,1,1,53,30,8,88,t,strict,1.67
Historic Anacostia,Private room,2,1,1,70,20,49,98,f,moderate,1.18
Historic Anacostia,Private room,1,1,1,41,24,12,87,f,strict,4.68
Historic Anacostia,Private room,2,1,1,65,30,10,94,f,moderate,1.73
Historic Anacostia,Private room,1,1,1,45,10,24,93,f,moderate,1.95
Historic Anacostia,Private room,2,1,1,56,14,31,85,t,strict,5.31
Historic Anacostia,Private room,2,1,2,65,23,60,91,f,moderate,1
Historic Anacostia,Private room,2,1,1,65,16,57,91,f,moderate,3.84
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Private room,2,1,1,28,1,1,100,f,strict,0.07
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Private room,1,1,1,49,30,7,83,f,flexible,1.21
"Sheridan, Barry Farm, Buena Vista",Private room,3,1,2,80,0,1,86,f,moderate,0.04
"Sheridan, Barry Farm, Buena Vista",Private room,2,1,1,75,1,1,100,f,moderate,0.15
"Sheridan, Barry Farm, Buena Vista",Private room,3,1,1,100,0,3,87,f,moderate,0.23
"Sheridan, Barry Farm, Buena Vista",Private room,3,1,2,59,20,10,98,f,moderate,0.24
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,60,20,48,85,t,strict,6.15
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,54,20,50,79,t,strict,3.95
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Shared room,1,1,1,20,17,1,80,t,flexible,1
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,50,16,58,83,t,strict,4.51
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,69,0,23,92,t,strict,1.83
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,70,23,22,96,f,flexible,3.33
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,60,23,36,81,t,strict,3.28
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,54,20,61,91,t,strict,5.15
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,4,1,1,85,30,1,100,f,flexible,0.26
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Entire home/apt,4,1,3,75,4,14,97,f,flexible,6.09
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,2,1,1,55,6,67,83,t,strict,5.28
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Entire home/apt,2,1,1,105,10,7,97,f,moderate,4.29
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,4,1,2,105,0,31,93,t,strict,2.66
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Shared room,1,1,1,20,24,13,75,t,flexible,0.58
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,1,98,0,1,100,f,moderate,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,145,0,96,97,f,flexible,3.05
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,53,10,35,93,t,strict,5.2
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,120,3,9,98,t,flexible,3
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,100,2,10,100,f,flexible,6
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,90,23,22,89,f,flexible,1.2
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,100,16,2,100,f,strict,2
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,100,7,121,95,f,moderate,6.9
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,3,110,6,7,86,f,flexible,0.21
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,125,6,22,100,f,moderate,1.45
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,137,23,2,100,f,moderate,1.82
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,100,28,21,97,f,moderate,0.52
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,135,0,23,95,f,moderate,1.84
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,150,1,12,90,f,strict,0.92
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,105,8,35,95,f,moderate,6.29
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,99,26,47,92,f,moderate,1.51
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,93,13,1,100,f,flexible,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,130,0,2,100,f,strict,0.67
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,135,2,13,95,f,moderate,8.3
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,100,2,34,100,f,moderate,7.29
"Union Station, Stanton Park, Kingman Park",Entire home/apt,6,1,2,149,5,12,94,f,flexible,0.65
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,130,2,90,93,t,flexible,3.64
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,107,4,3,87,t,strict,1.41
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,3,150,11,76,96,f,moderate,3.95
"Union Station, Stanton Park, Kingman Park",Private room,4,1,2,120,26,8,88,t,strict,1.44
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,125,2,23,95,f,moderate,0.83
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,100,6,7,97,f,flexible,3.13
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,2,94,4,5,96,f,strict,0.3
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,110,3,227,97,f,flexible,6.42
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,85,4,18,96,f,moderate,0.96
"Union Station, Stanton Park, Kingman Park",Shared room,1,1,1,47,7,14,97,f,moderate,5.68
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,90,10,10,96,f,flexible,0.76
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,134,4,51,98,f,flexible,5.6
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,85,12,180,92,t,flexible,3.42
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,129,15,1,100,f,moderate,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,179,5,25,99,f,strict,0.69
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,115,0,2,100,f,flexible,0.14
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,89,2,9,95,f,moderate,0.67
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,89,0,310,97,f,moderate,7.51
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,220,0,3,100,f,flexible,0.06
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,62,10,4,100,t,flexible,4
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,129,0,41,97,f,moderate,4.09
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,120,0,10,100,f,moderate,2.88
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,125,12,85,84,f,moderate,2.57
"Union Station, Stanton Park, Kingman Park",Private room,4,1,1,120,13,2,90,f,flexible,0.56
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,55,2,2,100,f,flexible,2
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,59,0,1,100,f,moderate,0.22
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,95,6,13,97,t,flexible,4.94
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,79,0,10,100,f,moderate,1.1
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,85,9,29,97,f,moderate,5.44
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,1,100,0,11,93,f,flexible,2
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,72,7,1,100,f,flexible,0.28
"Union Station, Stanton Park, Kingman Park",Private room,4,1,2,89,10,21,87,f,strict,2.09
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,75,0,1,100,f,flexible,1
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,85,25,76,93,f,moderate,2.93
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,189,30,4,100,t,moderate,0.96
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,69,25,28,94,f,strict,6
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,118,0,10,94,f,flexible,0.37
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,75,1,318,96,f,flexible,6.74
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,79,4,74,96,f,flexible,9.53
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,77,2,8,95,f,strict,1.83
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,84,0,28,98,f,moderate,1.79
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,95,21,61,93,t,flexible,2.14
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,95,3,14,86,f,moderate,0.84
"Union Station, Stanton Park, Kingman Park",Shared room,2,1,1,80,17,4,95,f,strict,0.88
"Union Station, Stanton Park, Kingman Park",Private room,4,1,2,137,14,28,97,f,strict,3.11
"Union Station, Stanton Park, Kingman Park",Private room,4,1,1,98,0,28,95,f,strict,1.53
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,149,12,34,96,t,moderate,5.57
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,150,5,26,98,f,moderate,3
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,168,5,47,98,f,moderate,3.71
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,59,5,9,70,t,strict,5.87
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,80,0,1,80,f,moderate,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,80,14,1,100,f,flexible,0.68
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,126,8,51,93,f,moderate,3.22
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,100,12,1,100,f,moderate,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,1,195,29,2,90,f,strict,0.18
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,100,0,1,100,f,strict,0.1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,125,0,8,91,t,moderate,2.76
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,145,3,142,99,f,strict,4.24
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,75,3,12,88,f,flexible,1.57
"Union Station, Stanton Park, Kingman Park",Entire home/apt,5,1,1,150,4,3,100,f,moderate,0.46
"Union Station, Stanton Park, Kingman Park",Entire home/apt,5,1,1,115,3,43,94,f,strict,1.59
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,119,18,3,70,f,flexible,0.99
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,125,6,28,96,f,flexible,1.07
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,124,2,25,97,f,moderate,3.42
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,95,22,51,97,f,moderate,3.11
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,59,27,1,100,t,flexible,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,99,15,6,100,f,strict,2
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,95,0,1,100,f,moderate,0.41
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,126,0,1,100,f,flexible,1
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,64,0,2,90,f,flexible,0.87
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,35,10,8,78,t,flexible,3.69
"Union Station, Stanton Park, Kingman Park",Private room,2,1,2,50,0,119,94,f,flexible,6.08
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,70,0,12,98,f,moderate,1.32
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,125,0,29,97,f,moderate,7.07
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,180,27,4,90,f,flexible,0.34
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,79,2,22,97,f,flexible,1.18
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,75,8,175,94,t,flexible,3.21
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,107,1,4,100,f,flexible,0.85
"Union Station, Stanton Park, Kingman Park",Private room,3,1,2,90,6,55,98,f,flexible,9.07
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,105,0,2,100,f,moderate,0.47
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,125,0,4,100,f,strict,1.32
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,99,0,1,80,f,flexible,0.81
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,150,0,1,100,f,flexible,0.33
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,85,0,71,95,f,moderate,4.6
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,120,2,16,99,f,flexible,1.24
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,35,0,1,100,t,flexible,1
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,79,4,42,94,f,moderate,7.2
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,2,149,8,15,99,f,moderate,2.33
"Union Station, Stanton Park, Kingman Park",Entire home/apt,5,1,2,115,6,37,97,f,flexible,2.58
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,105,0,7,100,t,moderate,3.89
"Union Station, Stanton Park, Kingman Park",Shared room,3,1,2,58,0,15,83,f,moderate,2.38
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,125,0,2,100,f,flexible,2
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,180,14,10,100,f,flexible,1.72
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,135,0,4,85,f,flexible,0.69
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,95,19,19,91,f,strict,1.4
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,145,6,5,100,f,strict,1.15
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,120,23,11,96,f,flexible,1.89
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,160,7,6,80,f,flexible,1.01
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,79,30,41,90,f,strict,1.32
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,55,0,1,100,f,flexible,0.67
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,2,50,0,1,80,f,flexible,0.24
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,135,8,14,100,t,moderate,3.04
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,80,0,2,100,f,strict,0.25
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,148,0,5,92,f,flexible,1.2
"Union Station, Stanton Park, Kingman Park",Private room,3,1,1,69,2,5,92,t,strict,3.33
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,85,1,1,100,f,flexible,1
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,58,26,1,100,f,moderate,1
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,40,0,11,87,t,strict,2.89
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,55,9,9,88,f,strict,0.32
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,95,0,40,92,f,moderate,1.4
"Union Station, Stanton Park, Kingman Park",Private room,4,1,2,144,6,48,97,f,flexible,2.42
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,70,24,22,96,f,moderate,1.75
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,75,30,1,60,f,strict,0.71
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,71,5,11,95,f,flexible,5.79
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,105,2,58,92,f,moderate,3.23
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,129,7,15,96,t,strict,1.11
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,2,135,25,23,85,f,strict,1.82
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,100,0,3,87,f,flexible,2.65
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,65,21,3,100,f,moderate,3
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,86,0,5,76,f,flexible,0.34
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,55,0,42,96,f,strict,1.28
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,165,0,1,100,f,strict,0.47
"Union Station, Stanton Park, Kingman Park",Private room,2,1,2,70,0,2,100,f,moderate,0.3
"Union Station, Stanton Park, Kingman Park",Private room,4,1,1,90,1,9,95,f,flexible,7.5
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,89,17,7,100,f,flexible,1.3
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,80,23,2,100,f,flexible,0.57
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,90,3,35,95,f,moderate,2.23
"Union Station, Stanton Park, Kingman Park",Shared room,1,1,1,70,17,1,100,f,moderate,1
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,1,135,8,111,97,t,moderate,4.18
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,249,0,1,60,f,moderate,0.21
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,64,11,30,91,f,moderate,5.11
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,149,2,6,97,f,strict,0.43
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,90,3,8,88,f,flexible,1.75
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,179,19,15,93,t,moderate,6.25
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,3,159,3,20,94,f,strict,3.53
"Union Station, Stanton Park, Kingman Park",Entire home/apt,2,1,1,220,17,23,97,f,flexible,2.82
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,117,0,6,88,f,moderate,0.81
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,80,0,2,100,f,strict,1.87
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,129,6,10,100,f,flexible,8.57
"Union Station, Stanton Park, Kingman Park",Entire home/apt,5,1,3,130,4,51,93,f,flexible,6.24
"Union Station, Stanton Park, Kingman Park",Private room,1,1,1,56,0,1,100,f,flexible,0.57
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,1,95,2,98,93,f,moderate,4.93
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,75,15,17,94,f,moderate,4.4
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,79,0,8,100,f,moderate,0.89
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,115,0,15,97,f,moderate,2.59
"Union Station, Stanton Park, Kingman Park",Entire home/apt,3,1,1,129,11,8,98,t,moderate,2.89
"Union Station, Stanton Park, Kingman Park",Entire home/apt,6,1,2,95,0,1,80,f,flexible,0.44
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,125,8,23,97,f,strict,4.76
"Union Station, Stanton Park, Kingman Park",Shared room,2,1,1,90,7,18,95,f,flexible,3.35
"Union Station, Stanton Park, Kingman Park",Entire home/apt,4,1,2,120,2,75,92,f,moderate,5.24
"Union Station, Stanton Park, Kingman Park",Private room,2,1,1,150,14,10,100,f,strict,0.27
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,3,1,1,99,27,18,98,f,flexible,1.25
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,99,15,11,93,f,moderate,2.73
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,75,17,2,100,f,strict,2
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,150,30,1,100,f,moderate,0.08
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,1,1,1,89,0,35,90,f,strict,1.11
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,2,115,4,6,83,f,strict,1.15
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,165,8,21,89,f,flexible,1.99
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,108,1,4,95,f,moderate,0.58
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,165,0,3,93,f,moderate,0.17
"Kalorama Heights, Adams Morgan, Lanier Heights",Shared room,1,1,1,45,0,8,98,f,flexible,1.7
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,100,10,5,100,f,flexible,0.59
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,110,0,1,100,f,strict,0.1
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,5,1,2,149,0,3,100,f,flexible,3
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,2,105,4,15,93,f,strict,2.2
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,99,15,80,96,f,moderate,2.44
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,109,7,19,92,t,moderate,1.5
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,145,15,6,97,f,strict,1.21
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,140,0,10,94,t,strict,0.78
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,1,130,30,1,100,f,strict,0.18
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,2,149,0,17,98,f,moderate,1.32
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,85,3,248,92,t,strict,4.64
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,160,3,16,100,f,strict,2.98
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,2,99,2,3,93,f,flexible,2.05
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,117,0,3,93,f,flexible,0.64
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,100,7,1,100,f,moderate,1
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,107,0,16,98,f,flexible,1.38
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,150,23,22,80,f,flexible,1.11
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,140,0,4,100,f,moderate,0.44
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,125,27,1,100,f,flexible,1
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,130,1,6,96,f,flexible,0.2
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,140,0,28,98,f,moderate,3.16
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,1,118,8,25,90,f,strict,0.52
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,90,0,3,73,f,moderate,0.84
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,125,0,16,92,f,strict,0.31
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,168,15,5,92,f,moderate,0.93
"Kalorama Heights, Adams Morgan, Lanier Heights",Shared room,1,1,1,75,30,4,90,f,strict,0.14
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,150,0,2,90,f,strict,0.41
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,84,21,17,91,f,flexible,2.46
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,75,19,6,70,f,strict,0.31
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,1,1,1,95,0,2,100,f,strict,0.3
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,95,17,69,99,f,moderate,1.66
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,1,150,28,18,92,f,moderate,0.98
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,1,90,0,1,60,f,flexible,0.38
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,115,9,37,95,t,flexible,2.69
"Kalorama Heights, Adams Morgan, Lanier Heights",Shared room,1,1,1,43,25,1,100,f,moderate,1
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,139,0,6,97,f,moderate,0.49
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,1,1,1,79,23,5,92,f,strict,0.37
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,6,1,4,129,9,118,98,f,strict,4.96
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,1,99,0,16,84,f,moderate,0.78
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,4,1,1,119,13,1,100,f,moderate,1
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,120,22,108,89,f,moderate,2.57
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,90,0,18,89,f,moderate,0.65
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,2,1,1,115,0,4,100,f,flexible,0.44
"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,2,1,1,160,12,12,96,f,moderate,0.24
"Kalorama Heights, Adams Morgan, Lanier Heights",Shared room,2,1,1,25,0,1,100,f,flexible,0.64
"Kalorama Heights, Adams Morgan, Lanier Heights",Shared room,2,1,1,70,27,57,92,f,strict,2.39
"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,3,1,1,170,0,49,96,t,moderate,2.59
